Fecha;Consumo
2019-02-06 15;33,50233333
2019-02-06 16;33,146
2019-02-06 17;32,88766667
2019-02-06 18;33,42283333
2019-02-06 19;36,26933333
2019-02-06 20;37,15716667
2019-02-06 21;36,38716667
2019-02-06 22;33,62533333
2019-02-06 23;30,526
2019-02-07 00;28,12466667
2019-02-07 01;26,2945
2019-02-07 02;25,02483333
2019-02-07 03;24,50866667
2019-02-07 04;24,46433333
2019-02-07 05;25,0795
2019-02-07 06;27,53916667
2019-02-07 07;32,09333333
2019-02-07 08;34,99666667
2019-02-07 09;36,12833333
2019-02-07 10;36,45516667
2019-02-07 11;36,036
2019-02-07 12;35,52766667
2019-02-07 13;35,16516667
2019-02-07 14;33,9945
2019-02-07 15;33,37466667
2019-02-07 16;32,99616667
2019-02-07 17;32,68133333
2019-02-07 18;33,27833333
2019-02-07 19;35,82733333
2019-02-07 20;36,653
2019-02-07 21;36,03983333
2019-02-07 22;33,67033333
2019-02-07 23;30,61116667
2019-02-08 00;28,3525
2019-02-08 01;26,38633333
2019-02-08 02;25,092
2019-02-08 03;24,43433333
2019-02-08 04;24,5145
2019-02-08 05;25,03233333
2019-02-08 06;27,52516667
2019-02-08 07;32,19716667
2019-02-08 08;34,99216667
2019-02-08 09;36,12583333
2019-02-08 10;36,29366667
2019-02-08 11;35,85366667
2019-02-08 12;35,10916667
2019-02-08 13;34,79883333
2019-02-08 14;33,576
2019-02-08 15;32,67866667
2019-02-08 16;32,30766667
2019-02-08 17;31,94383333
2019-02-08 18;32,4415
2019-02-08 19;34,82983333
2019-02-08 20;35,26116667
2019-02-08 21;34,846
2019-02-08 22;32,7825
2019-02-08 23;30,14816667
2019-02-09 00;28,3
2019-02-09 01;26,39883333
2019-02-09 02;24,913
2019-02-09 03;24,1055
2019-02-09 04;23,65183333
2019-02-09 05;23,456
2019-02-09 06;24,14166667
2019-02-09 07;25,42616667
2019-02-09 08;26,97233333
2019-02-09 09;29,888
2019-02-09 10;31,8085
2019-02-09 11;31,781
2019-02-09 12;31,2355
2019-02-09 13;31,05616667
2019-02-09 14;30,29383333
2019-02-09 15;28,97883333
2019-02-09 16;28,07666667
2019-02-09 17;27,6595
2019-02-09 18;28,58783333
2019-02-09 19;31,16666667
2019-02-09 20;31,98316667
2019-02-09 21;32,11566667
2019-02-09 22;30,8965
2019-02-09 23;28,74866667
2019-02-10 00;26,71516667
2019-02-10 01;24,73783333
2019-02-10 02;23,09116667
